Fecha,Id_planta,Ubicacion,Semana,Planta,AF,H,L.Raíz,P.I,PF
3/19/2024,1,L1 V1,1,1,36.32,11.5,6,2.84,NA
3/19/2024,2,L1 V1,1,2,29.52,11,5.5,3.52,NA
3/19/2024,3,L1 V2,1,3,11.19,13,4.5,5.31,NA
3/19/2024,4,L1 V2,1,4,18.95,13,5.3,2.96,NA
3/19/2024,5,L2 V1,1,1,28.77,8.6,5.3,4.27,NA
3/19/2024,6,L2 V1,1,2,35.56,11,4,3.75,NA
3/19/2024,7,L2 V2,1,3,15.59,13,5.4,5.06,NA
3/19/2024,8,L2 V2,1,4,20.42,14.5,5.3,3.21,NA
3/19/2024,9,L3 V1,1,1,22.13,9.5,5.1,2.7,NA
3/19/2024,10,L3 V1,1,2,32.59,11.5,5.5,3.61,NA
3/19/2024,11,L3 V2,1,3,20.21,15,4.6,5.85,NA
3/19/2024,12,L3 V2,1,4,16.4,13,5,6.13,NA
3/19/2024,13,L4 V1,1,1,28.3,10.5,5,3.08,NA
3/19/2024,14,L4 V1,1,2,27.43,10.3,5.5,2.91,NA
3/19/2024,15,L4 V2,1,3,18.84,13.9,4.2,4.23,NA
3/19/2024,16,L4 V2,1,4,22.73,13.4,5.5,6.14,NA
03/26/2024,1,L1 V1,2,1,42.35,11.5,NA,NA,NA
03/26/2024,2,L1 V1,2,2,46.28,11.2,NA,NA,NA
03/26/2024,3,L1 V2,2,3,20.46,13,NA,NA,NA
03/26/2024,4,L1 V2,2,4,14.61,13,NA,NA,NA
03/26/2024,5,L2 V1,2,1,36.13,8,NA,NA,NA
03/26/2024,6,L2 V1,2,2,37,11,NA,NA,NA
03/26/2024,7,L2 V2,2,3,23.07,14.5,NA,NA,NA
03/26/2024,8,L2 V2,2,4,30.47,13,NA,NA,NA
03/26/2024,9,L3 V1,2,1,25.38,9.5,NA,NA,NA
03/26/2024,10,L3 V1,2,2,51.81,11.5,NA,NA,NA
03/26/2024,11,L3 V2,2,3,20.81,15,NA,NA,NA
03/26/2024,12,L3 V2,2,4,22.92,13,NA,NA,NA
03/26/2024,13,L4 V1,2,1,30.17,10.6,NA,NA,NA
03/26/2024,14,L4 V1,2,2,22.31,10.4,NA,NA,NA
03/26/2024,15,L4 V2,2,3,19.2,14.5,NA,NA,NA
03/26/2024,16,L4 V2,2,4,24.56,13.6,NA,NA,NA
04/01/2024,1,L1 V1,3,1,25.24,12,NA,NA,NA
04/01/2024,2,L1 V1,3,2,46.44,12.5,NA,NA,NA
04/01/2024,3,L1 V2,3,3,21.36,13,NA,NA,NA
04/01/2024,4,L1 V2,3,4,17.03,13.8,NA,NA,NA
04/01/2024,5,L2 V1,3,1,38.5,9,NA,NA,NA
04/01/2024,6,L2 V1,3,2,39.13,12,NA,NA,NA
04/01/2024,7,L2 V2,3,3,24.25,15,NA,NA,NA
04/01/2024,8,L2 V2,3,4,21.77,14,NA,NA,NA
